,lat,long,elev
0,40.83477,-73.94735,25.16
1,40.83479,-73.94737,24.97
2,40.83472,-73.94747,26.01
3,40.83444,-73.94766,26.27
4,40.83353,-73.94553,32.0
5,40.83349,-73.94543,32.55
6,40.83349,-73.94543,32.55
7,40.83349,-73.94543,32.55
8,40.83346,-73.94545,32.68
9,40.83343,-73.94547,32.96
10,40.83291,-73.94586,37.0
11,40.83281,-73.94594,37.0
12,40.83251,-73.94616,38.42
13,40.8325,-73.94616,38.47
14,40.83152,-73.94687,43.08
15,40.8315,-73.94688,43.06
16,40.8309,-73.94734,41.0
17,40.83088,-73.94734,41.0
18,40.83066,-73.94749,39.22
19,40.83066,-73.9475,39.13
20,40.83026,-73.94779,37.87
21,40.82965,-73.94824,35.23
22,40.82963,-73.94825,35.0
23,40.82963,-73.94825,35.0
24,40.82903,-73.94869,34.15
25,40.8284,-73.94916,34.02
26,40.82778,-73.94961,34.21
27,40.82777,-73.94962,34.18
28,40.8275,-73.94981,34.05
29,40.82749,-73.94982,34.1
30,40.82715,-73.95007,34.19
31,40.82715,-73.95008,34.11
32,40.8267,-73.95041,34.0
33,40.82669,-73.95041,34.0
34,40.82659,-73.95049,34.0
35,40.82649,-73.95056,34.0
36,40.82649,-73.95057,34.0
37,40.82639,-73.95064,34.0
38,40.8258,-73.95105,34.0
39,40.82525,-73.95146,34.0
40,40.82521,-73.95149,34.0
41,40.82519,-73.9515,34.0
42,40.82513,-73.95155,34.0
43,40.82463,-73.95191,34.0
44,40.82457,-73.95196,34.0
45,40.82452,-73.952,34.0
46,40.82431,-73.95215,34.0
47,40.8243,-73.95215,34.0
48,40.824,-73.95237,34.0
49,40.82394,-73.95242,34.0
50,40.82388,-73.95245,34.05
51,40.82337,-73.95283,34.26
52,40.82331,-73.95287,34.0
53,40.8233,-73.95288,34.0
54,40.82326,-73.95291,34.0
55,40.82306,-73.95306,34.0
56,40.82305,-73.95306,34.0
57,40.82274,-73.95329,32.59
58,40.82269,-73.95333,32.05
59,40.82264,-73.95337,32.0
60,40.82238,-73.95356,32.0
61,40.82238,-73.95356,32.0
62,40.82214,-73.95374,31.61
63,40.82207,-73.95379,31.67
64,40.82207,-73.95379,31.67
65,40.82201,-73.95384,31.67
66,40.82184,-73.95396,31.23
67,40.82184,-73.95396,31.23
68,40.8215,-73.9542,30.49
69,40.82144,-73.95425,30.5
70,40.82143,-73.95425,30.4
71,40.82139,-73.95428,30.01
72,40.82087,-73.95466,29.0
73,40.82082,-73.95469,29.05
74,40.82081,-73.9547,29.06
75,40.82077,-73.95473,29.0
76,40.82035,-73.95505,29.0
77,40.82034,-73.95505,29.0
78,40.82025,-73.95512,28.49
79,40.82016,-73.95519,28.0
80,40.82005,-73.95526,27.54
81,40.81891,-73.95608,20.49
82,40.81885,-73.95612,20.0
83,40.81879,-73.95617,20.0
84,40.81828,-73.95654,17.64
85,40.81823,-73.95658,17.0
86,40.81818,-73.95662,17.0
87,40.81766,-73.957,14.29
88,40.8176,-73.95704,14.0
89,40.81754,-73.95709,13.43
90,40.81698,-73.95748,10.0
91,40.81642,-73.9579,7.23
92,40.81637,-73.95794,7.0
93,40.81632,-73.95798,7.0
94,40.81592,-73.9583,7.0
95,40.81581,-73.95839,7.15
96,40.81569,-73.95848,8.0
97,40.8155,-73.95861,8.6
98,40.81523,-73.95879,10.0
99,40.81516,-73.95884,10.62
100,40.81508,-73.9589,11.24
101,40.81391,-73.95977,17.0
102,40.81383,-73.95982,17.04
103,40.81375,-73.95988,17.85
104,40.8127,-73.96063,23.0
105,40.81251,-73.96076,23.91
106,40.81196,-73.96117,27.53
107,40.81188,-73.96123,28.0
108,40.81181,-73.96128,28.0
109,40.81132,-73.96164,30.74
110,40.81126,-73.96169,31.0
111,40.8112,-73.96173,31.04
112,40.81068,-73.96211,34.0
113,40.81059,-73.96218,34.34
114,40.81049,-73.96225,35.0
115,40.81007,-73.96256,37.0
116,40.81002,-73.96259,37.0
117,40.80996,-73.96263,37.43
118,40.80943,-73.96302,40.16
119,40.80937,-73.96306,40.8
120,40.80932,-73.96309,41.0
121,40.8093,-73.96311,41.0
122,40.80895,-73.96336,41.71
123,40.8089,-73.9634,41.28
124,40.80816,-73.96393,41.0
125,40.80813,-73.96387,41.0
