,lat,long,elev
0,40.83471,-73.94743,26.1
1,40.83472,-73.94747,26.01
2,40.83444,-73.94766,26.27
3,40.83432,-73.94775,26.0
4,40.83413,-73.94808,23.63
5,40.83409,-73.94837,19.67
6,40.83416,-73.94861,17.02
7,40.83423,-73.94882,16.43
8,40.8343,-73.94898,16.45
9,40.83435,-73.94909,17.15
10,40.83428,-73.94914,16.38
11,40.83404,-73.94931,11.18
12,40.83404,-73.94931,11.18
13,40.83404,-73.9493,11.25
14,40.83398,-73.94934,8.98
15,40.8327,-73.94971,16.84
16,40.83259,-73.94968,19.06
17,40.83252,-73.94966,20.57
18,40.83229,-73.94961,22.42
19,40.83215,-73.94959,23.0
20,40.83208,-73.94958,23.0
21,40.83186,-73.94956,23.75
22,40.83162,-73.94956,23.75
23,40.83149,-73.94957,23.64
24,40.83146,-73.94958,23.54
25,40.83141,-73.94958,23.54
26,40.83119,-73.94963,24.0
27,40.83086,-73.94976,23.88
28,40.83078,-73.94979,24.15
29,40.83057,-73.94988,23.89
30,40.83044,-73.94992,23.86
31,40.83031,-73.94995,23.84
32,40.8301,-73.94998,23.28
33,40.82993,-73.95001,23.0
34,40.82984,-73.95002,23.0
35,40.82965,-73.95007,23.24
36,40.82962,-73.95007,23.32
37,40.82961,-73.95008,23.32
38,40.82953,-73.95011,24.08
39,40.82893,-73.95039,25.91
40,40.8283,-73.95086,25.82
41,40.82768,-73.95132,25.76
42,40.82714,-73.95192,25.23
43,40.82708,-73.95198,25.33
44,40.82708,-73.95198,25.33
45,40.82708,-73.95198,25.33
46,40.82642,-73.95253,23.68
47,40.82582,-73.95301,22.0
48,40.82576,-73.95303,22.0
49,40.82558,-73.95324,21.0
50,40.82544,-73.95345,19.94
51,40.82534,-73.95367,19.0
52,40.82531,-73.95373,19.0
53,40.82527,-73.95377,19.0
54,40.82474,-73.95435,20.81
55,40.82413,-73.95483,19.84
56,40.82373,-73.95519,17.68
57,40.82365,-73.95529,17.5
58,40.82359,-73.95532,17.65
59,40.82354,-73.95534,17.84
60,40.82347,-73.95537,18.0
61,40.82344,-73.95539,17.97
62,40.82294,-73.95566,18.9
63,40.8228,-73.95572,19.0
64,40.82274,-73.95575,19.37
65,40.8225,-73.95589,20.0
66,40.82229,-73.95607,21.67
67,40.82224,-73.95611,22.0
68,40.82169,-73.95675,23.77
69,40.8213,-73.95722,22.98
70,40.8212,-73.95736,23.53
71,40.82116,-73.95749,22.58
72,40.82112,-73.95759,22.9
73,40.82109,-73.95774,21.64
74,40.82105,-73.95786,20.19
75,40.82105,-73.95786,20.19
76,40.82105,-73.95786,20.19
77,40.82104,-73.95789,19.36
78,40.82101,-73.95794,17.65
79,40.82097,-73.95804,15.25
80,40.82093,-73.95811,14.41
81,40.82091,-73.95816,14.0
82,40.82087,-73.95822,14.0
83,40.82081,-73.95828,13.43
84,40.82063,-73.95842,13.0
85,40.81753,-73.9607,2.0
86,40.81753,-73.9607,2.0
87,40.81753,-73.9607,2.0
88,40.81696,-73.96112,14.59
89,40.81689,-73.96117,18.15
90,40.81686,-73.96122,21.07
91,40.81683,-73.96125,24.03
92,40.8168,-73.96128,26.57
93,40.81676,-73.96131,28.96
94,40.81672,-73.96136,29.0
95,40.81669,-73.96138,29.0
96,40.81664,-73.96143,28.68
97,40.81658,-73.9615,28.75
98,40.81653,-73.96156,28.56
99,40.81649,-73.96162,28.91
100,40.81634,-73.96189,28.53
101,40.81624,-73.962,28.76
102,40.8162,-73.96205,28.87
103,40.81615,-73.9621,28.71
104,40.81611,-73.96215,29.0
105,40.81609,-73.96217,29.0
106,40.81603,-73.96223,28.99
107,40.81599,-73.96226,29.18
108,40.81596,-73.9623,29.1
109,40.81591,-73.96234,28.77
110,40.81585,-73.96238,28.87
111,40.81579,-73.96243,28.87
112,40.81571,-73.96248,29.07
113,40.81488,-73.96288,32.27
114,40.81396,-73.96337,34.23
115,40.81336,-73.9637,35.04
116,40.81324,-73.96376,35.39
117,40.81314,-73.9638,35.08
118,40.81308,-73.96382,35.55
119,40.81298,-73.96385,35.42
120,40.81289,-73.96387,35.83
121,40.81284,-73.96388,36.0
122,40.81281,-73.96388,36.0
123,40.81274,-73.96389,36.42
124,40.81271,-73.96389,36.74
125,40.8124,-73.9639,38.0
126,40.81229,-73.9639,38.0
127,40.81204,-73.9639,38.0
128,40.81188,-73.96389,37.0
129,40.81175,-73.9639,37.0
130,40.81163,-73.96393,36.6
131,40.81157,-73.96395,36.0
132,40.81152,-73.96397,36.0
133,40.81147,-73.96399,36.0
134,40.81138,-73.96404,35.9
135,40.81129,-73.9641,35.0
136,40.81084,-73.96443,34.0
137,40.81079,-73.96447,34.0
138,40.81074,-73.9645,34.0
139,40.81,-73.96503,33.0
140,40.80895,-73.96581,29.0
141,40.80886,-73.96589,29.0
142,40.80886,-73.96589,29.0
143,40.80886,-73.96589,29.0
144,40.80882,-73.96579,29.35
145,40.80878,-73.9657,30.0
146,40.80866,-73.96541,31.0
147,40.80848,-73.96498,33.09
148,40.80857,-73.96491,32.98
149,40.80853,-73.96481,34.02
150,40.8085,-73.96473,36.96
151,40.8082,-73.96403,41.0
152,40.80818,-73.96404,41.0
153,40.80812,-73.96409,40.58
154,40.80811,-73.96409,40.49
