time_seconds,elev
0,23.0
5,22.9
11,22.5
16,22.3
22,22.1
28,21.8
33,21.6
39,21.4
45,21.3
51,21.2
56,21.2
62,21.4
68,21.3
74,21.2
80,21.1
85,21.0
91,20.9
97,20.8
102,20.7
108,20.7
115,20.7
120,20.8
127,20.8
132,20.8
139,20.9
145,20.9
151,21.0
158,21.1
163,21.2
169,21.3
175,21.3
180,21.3
186,21.6
192,21.8
197,22.1
203,22.6
209,23.1
216,23.5
222,24.0
229,24.4
235,24.8
241,25.2
247,25.5
254,25.6
260,25.6
267,25.7
273,25.7
279,25.7
284,25.7
290,25.6
296,25.6
301,25.4
307,25.3
313,25.2
319,25.1
324,25.1
330,25.1
336,25.0
342,25.0
348,25.0
353,25.1
358,25.1
365,25.2
371,25.2
377,25.3
382,25.3
387,25.4
393,25.5
399,25.5
404,25.5
409,25.5
416,25.6
421,25.6
427,25.7
432,25.7
438,25.8
444,25.8
449,25.8
456,25.9
462,26.0
468,26.0
474,26.1
479,26.1
485,26.2
490,26.2
496,26.3
501,26.3
507,26.4
513,26.4
518,26.4
524,26.5
529,26.5
535,26.5
540,26.4
547,26.4
553,26.4
559,26.5
564,26.5
570,26.5
576,26.6
582,26.5
588,26.3
594,26.0
599,25.7
605,25.4
611,25.0
617,24.7
623,24.3
629,24.0
634,23.7
640,23.4
646,23.1
651,22.7
657,22.4
663,21.9
669,21.6
675,21.1
680,20.8
687,20.5
694,20.2
700,19.8
706,19.5
711,19.3
717,19.1
723,19.0
729,18.9
736,18.9
742,19.0
748,19.0
753,19.1
760,19.2
766,19.2
773,19.2
779,19.2
784,19.2
791,19.1
796,19.0
802,18.8
808,18.7
813,18.6
819,18.5
825,18.4
830,18.4
836,18.4
841,18.4
847,18.5
853,18.5
859,18.6
866,18.8
873,18.9
878,19.0
883,19.1
889,19.3
896,19.5
901,19.7
907,19.8
912,20.0
918,20.1
924,20.3
930,20.5
935,20.8
941,21.0
946,21.2
953,21.5
959,21.7
965,21.9
970,22.2
976,22.4
983,22.7
988,22.9
995,23.2
1000,23.4
1007,23.7
1013,23.9
1018,24.1
1024,24.2
1030,24.3
1036,24.5
1042,24.6
1047,24.7
1053,24.9
1059,25.0
1065,25.2
1071,25.2
1076,25.2
1082,25.3
1088,25.4
1094,25.5
1099,25.6
1105,25.7
1111,25.8
1117,25.9
1123,26.0
1129,26.0
1134,26.2
1140,26.2
1145,26.3
1151,26.4
1157,26.5
1163,26.6
1168,26.7
1174,26.8
1181,26.9
1188,27.0
1193,27.1
1199,27.2
1205,27.3
1211,27.5
1217,27.6
1223,27.6
1228,27.7
1234,27.8
1241,27.9
1246,27.9
1253,28.0
1258,28.1
1264,28.2
1270,28.3
1275,28.4
1281,28.6
1286,28.7
1292,28.8
1298,28.9
1308,29.0
1314,29.1
1319,29.1
1324,29.1
1329,29.1
1335,29.2
1340,29.2
1347,29.3
1353,29.4
1359,29.5
1364,29.6
1370,29.7
1375,29.8
1381,29.9
1387,30.0
1393,30.2
1398,30.3
1405,30.4
1411,30.4
1416,30.5
1423,30.6
1428,30.8
1434,31.1
1440,31.3
1445,31.5
1451,31.6
1457,31.7
1462,32.1
1468,32.6
1473,33.0
1480,33.6
1486,34.2
1491,34.7
1497,35.1
1503,35.7
1509,36.1
1515,36.6
1521,37.0
1527,37.3
1533,37.6
1539,37.8
1544,37.9
1550,38.0
1555,38.1
1562,38.2
1567,38.3
1573,38.4
1578,38.5
1584,38.7
1589,38.8
1595,39.0
1601,39.1
1608,39.2
1613,39.2
1620,39.3
1625,39.3
1631,39.4
1638,39.5
1644,39.5
1650,39.6
1656,39.7
1662,39.9
1668,40.0
1673,40.2
1679,40.2
1687,40.3
1692,40.2
1698,39.8
1704,39.8
1709,40.1
1715,40.0
1721,40.0
1728,39.9
1734,39.9
1739,39.8
1745,39.6
1750,39.5
1756,39.3
1761,39.2
1767,39.0
1772,38.9
1778,38.7
1783,38.6
1789,38.5
1795,38.2
1801,38.0
1807,37.7
1812,37.5
1818,37.3
1824,37.1
1829,37.0
1835,36.8
1840,36.6
1847,36.5
1854,36.5
1860,36.3
1866,36.0
1872,35.6
1878,35.4
1884,35.0
1890,34.7
1896,34.4
1902,34.1
1907,33.8
1913,33.5
1919,33.2
1924,33.0
1930,32.7
1935,32.4
1941,32.1
1946,31.8
1952,31.4
1958,31.2
1963,30.9
1969,30.7
1975,30.4
1980,30.2
1991,32.3
1997,33.4
2003,34.2
2010,34.8
2015,35.4
2021,36.1
2027,36.6
2032,37.1
2038,37.4
2043,37.9
2049,38.4
2055,38.9
2061,39.4
2066,39.8
2072,40.3
2079,40.5
2084,40.4
2090,40.4
2096,40.5
2102,40.5
2108,40.4
2114,40.3
2120,40.5
2125,40.7
2131,40.8
2136,41.0
2142,41.2
2147,41.4
2153,41.6
2158,41.7
2165,41.0
2170,40.7
2176,40.5
2183,40.3
